Rank,Name,Score,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
,Saiki Kusuo no Ψ-nan,70,TV Seires,Anime,Completed,,,YES,NO
,Re:Zero,70,TV Seires,Anime,On Hold,,,NO,NO
,Nekomonogatari: Kuro,70,TV Seires,Anime,Completed,,,YES,NO
,One Punch Man,70,TV Seires,Anime,Completed,,,NO,NO
,Nisemonogatari,70,TV Seires,Anime,Completed,,,YES,NO
,No Game No Life,70,TV Seires,Anime,Completed,,,YES,NO
,Mushishi,70,TV Seires,Anime,On Hold,,,YES,NO
,Demon Slayer,70,TV Seires,Anime,Completed,,,NO,NO
,Tower of God,70,TV Seires,Anime,Completed,,,NO,NO
,Hellsing Ultimate,70,TV Seires,Anime,Dropped,,,YES,NO
,Inazuma Eleven,70,TV Seires,Anime,Completed,,,YES,NO
,Fullmetal Alchemist: Brotherhood,70,TV Seires,Anime,Completed,,,YES,NO
,Durarara!!,70,TV Seires,Anime,Dropped,,,YES,NO
,Dr. Stone,70,TV Seires,Anime,Dropped,,,NO,NO
,Deadman Wonderland,70,TV Seires,Anime,Completed,,,YES,NO
,"Code Geass: Boukoku no Akito ",70,TV Seires,Anime,Completed,,,YES,NO
,Boku no Hero Academia,70,TV Seires,Anime,On Hold,,,NO,NO
,Bakemono no Ko,70,TV Seires,Anime,Completed,,,YES,NO
,Bakemonogatari,70,TV Seires,Anime,Completed,,,YES,NO
,I saw the devil,70,Movie,South Korean,Completed,"Thiller, psychological",,YES,YES
,Naruto Shippuden the Movie: Blood Prison,70,Movie,Anime,Completed,,,YES,NO
,The Last: Naruto the Movie,70,Movie,Anime,Completed,,,YES,NO
,Naruto Shippuden the Movie: The Lost Tower,70,Movie,Anime,Completed,,,YES,NO
,Naruto Shippuden the Movie: Bonds,70,Movie,Anime,Completed,,,YES,NO
,Naruto The Movie 3: Guardians of the Crescent Moon Kingdom,70,Movie,Anime,Completed,,,YES,NO
,Naruto the Movie: Ninja Clash in the Land of Snow,70,Movie,Anime,Completed,,,YES,NO
,Naruto the Movie: Legend of the Stone of Gelel,70,Movie,Anime,Completed,,,YES,NO
,Genesect and the Legend Awakened,70,Movie,Anime,Completed,,,YES,NO
,Kyurem vs. the Sword of Justice,70,Movie,Anime,Completed,,,YES,NO
,Diancie and the Cocoon of Destruction,70,Movie,Anime,Completed,,,YES,NO
,Giratina & the Sky Warrior,70,Movie,Anime,Completed,,,YES,NO
,Zoroark—Master of Illusions,70,Movie,Anime,Completed,,,YES,NO
,Victini and Reshiram,70,Movie,Anime,Completed,,,YES,NO
,Pokémon Ranger and the Temple of the Sea,70,Movie,Anime,Completed,,,YES,NO
,Destiny Deoxys,70,Movie,Anime,Completed,,,YES,NO
,Pokémon Heroes: Latios and Latias,70,Movie,Anime,Completed,,,YES,NO
,Jirachi — Wish Maker,70,Movie,Anime,Completed,,,YES,NO
,Pokémon 3: The Movie - Spell of the Unknown,70,Movie,Anime,Completed,,,YES,NO
,Pokémon 4Ever: Celebi - Voice of the Forest,70,Movie,Anime,Completed,,,YES,NO
,Bokuto in Exile,70,Movie,Anime,Completed,,,YES,NO
,My hero academia: Movie,70,Movie,Anime,Completed,,,YES,NO
,Kizumonogatari I,70,Movie,Anime,Completed,,,YES,NO
,Haruhi Suzumia: Movie,70,Movie,Anime,Completed,,,YES,NO
,Avengers: Endgame,70,Movie,American,Completed,,,YES,NO
,Avengers: Infinity War,70,Movie,American,Completed,,,YES,NO
,Guardians of the Galaxy Vol. 2,70,Movie,American,Completed,,,YES,NO
,Guardians of the Galaxy,70,Movie,American,Completed,,,YES,NO
,Marvel's The Avengers,70,Movie,American,Completed,,,YES,NO
,Avengers: Age of Ultron,70,Movie,American,Completed,,,YES,NO
,Iron Man,70,Movie,American,Completed,,,YES,NO
,Iron Man 2,70,Movie,American,Completed,,,YES,NO
,The Incredible Hulk,70,Movie,American,Completed,,,YES,NO
,Thor,70,Movie,American,Completed,,,YES,NO
,Captain America: The First Avenger,70,Movie,American,Completed,,,YES,NO
,X-Men: Apocalypse,70,Movie,American,Completed,,,YES,NO
,X-Men: Days of Future Past,70,Movie,American,Completed,,,YES,NO
,X-Men: The Last Stand,70,Movie,American,Completed,,,YES,NO
,X2,70,Movie,American,Completed,,,YES,NO
,X-Men,70,Movie,American,Completed,,,YES,NO
,Psycho,70,Movie,American,Completed,,,YES,NO
,Doctor Strange,70,Movie,American,Completed,,,YES,NO
,Your throne,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,To Love your enemy,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Toaster Dude,70,Comic,Manhwa/Webtoon,Completed,,,YES,NO
,Wind Breaker,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Viral Hit,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Winter Moon,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,The remarried Empress,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,The girl downstairs,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,The Masked fables,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Rebirth,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Omnicient Reader,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Noblesse,70,Comic,Manhwa/Webtoon,Completed,,,YES,NO
,Microhunter,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Lore Olympus,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,GOSU,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Freaking Romance,70,Comic,Manhwa/Webtoon,On Hold,,,YES,NO
