,Unnamed: 0.1,Unnamed: 0,Rank,Name,Rating,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
73,73,73,65.0,Deadpool,1542.8536882591618,Movie,American,Completed,Black Comedy,,YES,NO
74,74,74,66.0,Burn After Reading,1557.1463117408382,Movie,American,Completed,Black Comedy,,YES,NO
75,75,75,67.0,Cape Fear,1500.0,Movie,American,Completed,"Action, Thiller",,YES,NO
76,76,76,68.0,Confessions,1500.0,Movie,Japanese,Completed,"Crime, psychological",,YES,NO
77,77,77,69.0,Promising.Young.Woman,1550.0,Movie,American,Completed,,,YES,NO
78,78,78,,Rick and Morty,1500.0,TV Seires,American,On Hold,"Black Comedy, Sci-Fi",,NO,NO
79,79,79,70.0,Captain America: Civil War,1500.0,Movie,American,Completed,"Crime, Drama",,YES,NO
80,80,80,71.0,Primer,1500.0,Movie,American,Completed,Sci-Fi,,YES,NO
81,81,81,72.0,Evangelio 2.0,1500.0,Movie,Anime,Completed,"Drama, Sci-Fi, psychological",,YES,NO
82,82,82,73.0,Back to the Future,1500.0,Movie,American,Completed,"Comedy, Sci-Fi",,YES,NO
83,83,83,74.0,Kizumonogatari III,1500.0,Movie,Anime,Completed,"Drama, Fantacy",,YES,NO
84,84,84,,Traveler,1500.0,Book,Novel,Completed,Sci-Fi,,YES,YES
85,85,85,75.0,Hotarubi no Mori e,1500.0,Movie,Anime,Completed,"Drama, Fantacy",,YES,NO
86,86,86,,Fate/Stay Night: Heaven's Feel - I. Presage Flower,1470.1997219106738,Movie,Anime,Completed,,,YES,NO
87,87,87,,Black Swan,1500.0,Movie,American,Completed,,,YES,NO
88,88,88,76.0,And Then There Were None,1500.0,Book,Novel,Completed,"Crime, Mystery",,YES,YES
89,89,89,77.0,I am still here,1500.0,Book,Fanfiction,Completed,"Fantacy, psychological",,NO,YES
90,90,90,78.0,Predestination,1500.0,Movie,American,Completed,"Action, Fantacy",,YES,NO
91,91,91,,Hunt For The Wilderpeople,1500.0,Movie,New Zealand,Completed,,,YES,NO
92,92,92,,Boruto Movie,1500.0,Movie,Anime,Completed,,,YES,NO
93,93,93,79.0,The Rise of Darkrai,1500.0,Movie,Anime,Completed,"Action, Fantacy",,YES,NO
94,94,94,,Back to the Future Part II,1450.0,Movie,American,Completed,,,YES,NO
95,95,95,,Strangers in Boston,1500.0,Book,Novel,Completed,"Fantacy, Sci-Fi",,YES,YES
96,96,96,80.0,Spider-Man: Homecoming,1450.0,Movie,American,Completed,"Action, Comedy",,YES,NO
97,97,97,,Dodging Prison and Stealing Witches,1500.0,Book,Fanfiction,Reading/Watching,Fantacy,,NO,
98,98,98,,Code Geass Movie,1500.0,Movie,Anime,Completed,,,YES,NO
99,99,99,,Evangelio 1.0,1450.0,Movie,Anime,Completed,,,YES,NO
100,100,100,81.0,Oh God Not Again,1500.0,Book,Fanfiction,Completed,Black Comedy,,YES,YES
101,101,101,,Harry Potter and Ashes of Chaos,1500.0,Book,Fanfiction,Dropped,Fantacy,,NO,YES
102,102,102,,Steins Gate: Movie,1500.0,Movie,Anime,Completed,,,YES,NO
103,103,103,82.0,A Precise Note,1500.0,Book,Fanfiction,Reading/Watching,"Action, Sci-Fi",,NO,NO
104,104,104,,Dune,1500.0,Book,American,Completed,"Fantacy, Sci-Fi",,YES,YES
105,105,105,83.0,Precognition,1500.0,Book,Fanfiction,Reading/Watching,Drama,40/44,NO,NO
106,106,106,,https://www.goodreads.com/en/book/show/34403860rcane accession,1500.0,Book,American,Dropped,Fantacy,,NO,NO
107,107,107,,Legend,1500.0,Book,Fanfiction,Dropped,"Action, Fantacy",,NO,NO
108,108,108,,A Black Comedy,1500.0,Book,Fanfiction,Completed,Comedy,,YES,YES
109,109,109,,Solo Leveling,1500.0,Book,Light novel,Completed,"Action, Fantacy",,YES,YES
110,110,110,,"My Trans-Dimentional, Overpowered Protagonist, Harem Comedy is Wrong!  ",1500.0,Book,Fanfiction,Dropped,Fantacy,,NO,YES
111,111,111,,The Odds were never in my favour,1500.0,Book,Fanfiction,Dropped,Action,,NO,YES
112,112,112,,Overlord,1500.0,Book,Light novel,Dropped,Fantacy,,NO,YES
113,113,113,,Omnicient Reader,1500.0,Book,Light novel,Dropped,Fantacy,,YES,NO
114,114,114,84.0,Made in Abyss,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
115,115,115,85.0,3-gatsu no lion,1550.0,TV Seires,Anime,Reading/Watching,"Drama, psychological",,NO,NO
116,116,116,87.0,Mahou Shoujo Madoka★Magica,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy, Horror, psychological",,YES,NO
117,117,117,86.0,Hyouka,1500.0,TV Seires,Anime,Completed,"Comedy, Drama, psychological",,YES,NO
118,118,118,89.0,Love Death + Robot,1500.0,TV Seires,American,Completed,"Action, Drama, Horror, Sci-Fi, Thiller, psychological",,YES,NO
119,119,119,58.0,Trigun,1500.0,TV Seires,Anime,Completed,"Action, Comedy, Neo-noir, Sci-Fi",,YES,NO
120,120,120,59.0,Zankyou no Terror,1500.0,TV Seires,Anime,Completed,Thiller,,YES,NO
121,121,121,55.0,Samurai Champloo,1500.0,TV Seires,Anime,Completed,"Action, Neo-noir",,YES,NO
122,122,122,53.0,NHK ni Youkoso!,1500.0,TV Seires,Anime,Completed,"Drama, psychological",,YES,NO
123,123,123,90.0,Mob Psycho 100,1450.0,TV Seires,Anime,Completed,"Action, Comedy, Drama, Fantacy",,YES,NO
124,124,124,54.0,Promised Neverland,1500.0,Comic,Manga,Dropped,"Action, Sci-Fi, Thiller, psychological",,YES,NO
125,125,125,61.0,Vinland saga,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy, psychological",,YES,NO
126,126,126,62.0,Monster,1500.0,TV Seires,Anime,Completed,,,YES,NO
127,127,127,68.0,Yakusoku no Neverland,1500.0,TV Seires,Anime,Completed,,,YES,NO
128,128,128,69.0,Apharan,1500.0,TV Seires,Indian,Completed,,,YES,NO
129,129,129,75.0,Neon Genesis Evangelion,1500.0,TV Seires,Anime,Completed,,,YES,NO
130,130,130,73.0,Clannad,1450.0,TV Seires,Anime,Completed,,,YES,NO
131,131,131,76.0,Nice to meat you,1500.0,Comic,Manhwa/Webtoon,Reading/Watching,,,NO,NO
132,132,132,81.0,Flames,1500.0,TV Seires,Indian,Completed,,,YES,NO
133,133,133,83.0,Shigatsu wa Kimi no Uso,1500.0,TV Seires,Anime,Completed,,,YES,NO
134,134,134,82.0,Kaguya-sama wa Kokurasetai,1500.0,TV Seires,Anime,On Hold,,,YES,NO
135,135,135,88.0,Kaguya-sama wa Kokurasetai,1500.0,TV Seires,Anime,Completed,,,NO,NO
136,136,136,86.0,Devilman: Crybaby,1500.0,TV Seires,Anime,Completed,,,YES,NO
137,137,137,84.0,Angel Beats!,1500.0,TV Seires,Anime,Completed,,,YES,NO
138,138,138,,Stranger Things,1550.0,TV Seires,American,Dropped,"Drama, Sci-Fi",,NO,NO
139,139,139,99.0,Inmates,1500.0,TV Seires,Indian,Completed,,,YES,NO
140,140,140,92.0,Family Man,1500.0,TV Seires,Indian,Completed,,10/19,YES,NO
141,141,141,,Kono Subarashii,1500.0,TV Seires,Anime,Completed,,,NO,NO
142,142,142,,Kaichou wa Maid-sama!,1500.0,TV Seires,Anime,Completed,,,YES,NO
143,143,143,97.0,Hunter x Hunter ,1500.0,TV Seires,Anime,Completed,,,YES,NO
144,144,144,94.0,Haikyuu,1500.0,TV Seires,Anime,On Hold,,,YES,NO
145,145,145,91.0,Boku dake ga Inai Machi,1500.0,TV Seires,Anime,Completed,,,YES,NO
